"function_name","category","version_marker","tier","tier_label","description"
"SUMXMY2","Math and trigonometry functions","","1","regular_pure_or_low_risk","Returns the sum of squares of differences of corresponding values in two arrays"
"SWITCH","Logical functions","","1","regular_pure_or_low_risk","Evaluates an expression against a list of values and returns the result corresponding to the first matching value. If there is no match, an optional default value may be returned."
"SYD","Financial functions","","1","regular_pure_or_low_risk","Returns the sum-of-years' digits depreciation of an asset for a specified period"
"T.DIST","Statistical functions","","1","regular_pure_or_low_risk","Returns the Percentage Points (probability) for the Student t-distribution"
"T.DIST.2T","Statistical functions","","1","regular_pure_or_low_risk","Returns the Percentage Points (probability) for the Student t-distribution"
"T.DIST.RT","Statistical functions","","1","regular_pure_or_low_risk","Returns the Student's t-distribution"
"T.INV","Statistical functions","","1","regular_pure_or_low_risk","Returns the t-value of the Student's t-distribution as a function of the probability and the degrees of freedom"
"T.INV.2T","Statistical functions","","1","regular_pure_or_low_risk","Returns the inverse of the Student's t-distribution"
"T.TEST","Statistical functions","","1","regular_pure_or_low_risk","Returns the probability associated with a Student's t-test"
"TAN","Math and trigonometry functions","","1","regular_pure_or_low_risk","Returns the tangent of a number"
"TANH","Math and trigonometry functions","","1","regular_pure_or_low_risk","Returns the hyperbolic tangent of a number"
"TBILLEQ","Financial functions","","1","regular_pure_or_low_risk","Returns the bond-equivalent yield for a Treasury bill"
"TBILLPRICE","Financial functions","","1","regular_pure_or_low_risk","Returns the price per $100 face value for a Treasury bill"
"TBILLYIELD","Financial functions","","1","regular_pure_or_low_risk","Returns the yield for a Treasury bill"
"TDIST","Compatibility","","2","baseline_context","Returns the Student's t-distribution"
"TEXTAFTER","Text functions","","2","baseline_context","Returns text that occurs after given character or string"
"TEXTBEFORE","Our 10 featured functions","","1","regular_pure_or_low_risk","Use this function to return text that occurs before a given character or string. You can use TEXTAFTER to return text that occurs after a given character or string."
"TEXTSPLIT","Text functions","","2","baseline_context","Splits text strings by using column and row delimiters"
"TIME","Date and time functions","","2","baseline_context","Returns the serial number of a particular time"
"TIMEVALUE","Date and time functions","","2","baseline_context","Converts a time in the form of text to a serial number"
"TINV","Compatibility","","2","baseline_context","Returns the inverse of the Student's t-distribution"
"TRANSLATE","Text functions","","2","baseline_context","Translates a text from one language to another"
"TREND","Statistical functions","","1","regular_pure_or_low_risk","Returns values along a linear trend"
"TRIM","Text functions","","2","baseline_context","Removes spaces from text"
"TRIMMEAN","Statistical functions","","1","regular_pure_or_low_risk","Returns the mean of the interior of a data set"
"TRUE","Logical functions","","1","regular_pure_or_low_risk","Returns the logical value TRUE"
"TRUNC","Math and trigonometry functions","","1","regular_pure_or_low_risk","Truncates a number to an integer"
"TTEST","Compatibility","","2","baseline_context","Returns the probability associated with a Student's t-test"
"UNICHAR","Text functions","","2","baseline_context","Returns the Unicode character that is references by the given numeric value"
"UNICODE","Text functions","","2","baseline_context","Returns the number (code point) that corresponds to the first character of the text"
"UPPER","Text functions","","2","baseline_context","Converts text to uppercase"
"VAR","Compatibility","","2","baseline_context","Estimates variance based on a sample"
"VAR.P","Statistical functions","","1","regular_pure_or_low_risk","Calculates variance based on the entire population"
"VAR.S","Statistical functions","","1","regular_pure_or_low_risk","Estimates variance based on a sample"
"VARA","Statistical functions","","1","regular_pure_or_low_risk","Estimates variance based on a sample, including numbers, text, and logical values"
